Name,Type,Category,Power,Accuracy,PP
Pound,Normal,Physical,40,100,35
Karate Chop,Fighting,Physical,50,100,25
Double Slap,Normal,Physical,15,85,10
Comet Punch,Normal,Physical,18,85,15
Mega Punch,Normal,Physical,80,85,20
Pay Day,Normal,Physical,40,100,20
Fire Punch,Fire,Physical,75,100,15
Ice Punch,Ice,Physical,75,100,15
Thunder Punch,Electric,Physical,75,100,15
Scratch,Normal,Physical,40,100,35
Vise Grip,Normal,Physical,55,100,30
Guillotine,Normal,Physical,,30,5
Razor Wind,Normal,Special,80,100,10
Swords Dance,Normal,Status,,,20
Cut,Normal,Physical,50,95,30
Gust,Flying,Special,40,100,35
Wing Attack,Flying,Physical,60,100,35
Whirlwind,Normal,Status,,,20
Fly,Flying,Physical,90,95,15
Bind,Normal,Physical,15,85,20
Slam,Normal,Physical,80,75,20
Vine Whip,Grass,Physical,45,100,25
Stomp,Normal,Physical,65,100,20
Double Kick,Fighting,Physical,30,100,30
Mega Kick,Normal,Physical,120,75,5
Jump Kick,Fighting,Physical,100,95,10
Rolling Kick,Fighting,Physical,60,85,15
Sand Attack,Ground,Status,,100,15
Headbutt,Normal,Physical,70,100,15
Horn Attack,Normal,Physical,65,100,25
Fury Attack,Normal,Physical,15,85,20
Horn Drill,Normal,Physical,,30,5
Tackle,Normal,Physical,40,100,35
Body Slam,Normal,Physical,85,100,15
Wrap,Normal,Physical,15,90,20
Take Down,Normal,Physical,90,85,20
Thrash,Normal,Physical,120,100,10
Double-Edge,Normal,Physical,120,100,15
Tail Whip,Normal,Status,,100,30
Poison Sting,Poison,Physical,15,100,35
Twineedle,Bug,Physical,25,100,20
Pin Missile,Bug,Physical,25,95,20
Leer,Normal,Status,,100,30
Bite,Dark,Physical,60,100,25
Growl,Normal,Status,,100,40
Roar,Normal,Status,,,20
Sing,Normal,Status,,55,15
Supersonic,Normal,Status,,55,20
Sonic Boom,Normal,Special,,90,20
Disable,Normal,Status,,100,20
Acid,Poison,Special,40,100,30
Ember,Fire,Special,40,100,25
Flamethrower,Fire,Special,90,100,15
Mist,Ice,Status,,,30
Water Gun,Water,Special,40,100,25
Hydro Pump,Water,Special,110,80,5
Surf,Water,Special,90,100,15
Ice Beam,Ice,Special,90,100,10
Blizzard,Ice,Special,110,70,5
Psybeam,Psychic,Special,65,100,20
Bubble Beam,Water,Special,65,100,20
Aurora Beam,Ice,Special,65,100,20
Hyper Beam,Normal,Special,150,90,5
Peck,Flying,Physical,35,100,35
Drill Peck,Flying,Physical,80,100,20
Submission,Fighting,Physical,80,80,20
Low Kick,Fighting,Physical,,100,20
Counter,Fighting,Physical,,100,20
Seismic Toss,Fighting,Physical,,100,20
Strength,Normal,Physical,80,100,15
Absorb,Grass,Special,20,100,25
Mega Drain,Grass,Special,40,100,15
Leech Seed,Grass,Status,,90,10
Growth,Normal,Status,,,20
Razor Leaf,Grass,Physical,55,95,25
Solar Beam,Grass,Special,120,100,10
Poison Powder,Poison,Status,,75,35
Stun Spore,Grass,Status,,75,30
Sleep Powder,Grass,Status,,75,15
Petal Dance,Grass,Special,120,100,10
String Shot,Bug,Status,,95,40
Dragon Rage,Dragon,Special,,100,10
Fire Spin,Fire,Special,35,85,15
Thunder Shock,Electric,Special,40,100,30
Thunderbolt,Electric,Special,90,100,15
Thunder Wave,Electric,Status,,90,20
Thunder,Electric,Special,110,70,10
Rock Throw,Rock,Physical,50,90,15
Earthquake,Ground,Physical,100,100,10
Fissure,Ground,Physical,,30,5
Dig,Ground,Physical,80,100,10
Toxic,Poison,Status,,90,10
Confusion,Psychic,Special,50,100,25
Psychic,Psychic,Special,90,100,10
Hypnosis,Psychic,Status,,60,20
Meditate,Psychic,Status,,,40
Agility,Psychic,Status,,,30
Quick Attack,Normal,Physical,40,100,30
Rage,Normal,Physical,20,100,20
Teleport,Psychic,Status,,,20
Night Shade,Ghost,Special,,100,15
Mimic,Normal,Status,,,10
Screech,Normal,Status,,85,40
Double Team,Normal,Status,,,15
Recover,Normal,Status,,,5
Harden,Normal,Status,,,30
Minimize,Normal,Status,,,10
Smokescreen,Normal,Status,,100,20
Confuse Ray,Ghost,Status,,100,10
Withdraw,Water,Status,,,40
Defense Curl,Normal,Status,,,40
Barrier,Psychic,Status,,,20
Light Screen,Psychic,Status,,,30
Haze,Ice,Status,,,30
Reflect,Psychic,Status,,,20
Focus Energy,Normal,Status,,,30
Bide,Normal,Physical,,,10
Metronome,Normal,Status,,,10
Mirror Move,Flying,Status,,,20
Self-Destruct,Normal,Physical,200,100,5
Egg Bomb,Normal,Physical,100,75,10
Lick,Ghost,Physical,30,100,30
Smog,Poison,Special,30,70,20
Sludge,Poison,Special,65,100,20
Bone Club,Ground,Physical,65,85,20
Fire Blast,Fire,Special,110,85,5
Waterfall,Water,Physical,80,100,15
Clamp,Water,Physical,35,85,15
Swift,Normal,Special,60,,20
Skull Bash,Normal,Physical,130,100,10
Spike Cannon,Normal,Physical,20,100,15
Constrict,Normal,Physical,10,100,35
Amnesia,Psychic,Status,,,20
Kinesis,Psychic,Status,,80,15
Soft-Boiled,Normal,Status,,,5
Hi Jump Kick,Fighting,Physical,130,90,10
Glare,Normal,Status,,100,30
Dream Eater,Psychic,Special,100,100,15
Poison Gas,Poison,Status,,90,40
Barrage,Normal,Physical,15,85,20
Leech Life,Bug,Physical,80,100,10
Lovely Kiss,Normal,Status,,75,10
Sky Attack,Flying,Physical,140,90,5
Transform,Normal,Status,,,10
Bubble,Water,Special,40,100,30
Dizzy Punch,Normal,Physical,70,100,10
Spore,Grass,Status,,100,15
Flash,Normal,Status,,100,20
Psywave,Psychic,Special,,100,15
Splash,Normal,Status,,,40
Acid Armor,Poison,Status,,,20
Crabhammer,Water,Physical,100,90,10
Explosion,Normal,Physical,250,100,5
Fury Swipes,Normal,Physical,18,80,15
Bonemerang,Ground,Physical,50,90,10
Rest,Psychic,Status,,,5
Rock Slide,Rock,Physical,75,90,10
Hyper Fang,Normal,Physical,80,90,15
Sharpen,Normal,Status,,,30
Conversion,Normal,Status,,,30
Tri Attack,Normal,Special,80,100,10
Super Fang,Normal,Physical,,90,10
