Name,ID,Type1,Type2,Evo,HP,Atk,Def,SpAtk,SpDef,Spe
Bulbasaur,1,Grass,Poison,16,45,49,49,45,65,65
Ivysaur,2,Grass,Poison,32,60,62,63,60,80,80
Venusaur,3,Grass,Poison,,80,82,83,80,100,100
Charmander,4,Fire,,16,39,52,43,65,50,60
Charmeleon,5,Fire,,36,58,64,58,80,65,80
Charizard,6,Fire,Flying,,78,84,78,100,85,109
Squirtle,7,Water,,16,44,48,65,43,64,50
Wartortle,8,Water,,36,59,63,80,58,80,65
Blastoise,9,Water,,,79,83,100,78,105,85
Caterpie,10,Bug,,7,45,30,35,45,20,20
Metapod,11,Bug,,10,50,20,55,30,25,25
Butterfree,12,Bug,Flying,,60,45,50,70,80,90
Weedle,13,Bug,Poison,7,40,35,30,50,20,20
Kakuna,14,Bug,Poison,10,45,25,50,35,25,25
Beedrill,15,Bug,Poison,,65,90,40,75,80,45
Pidgey,16,Normal,Flying,18,40,45,40,56,35,35
Pidgeotto,17,Normal,Flying,36,63,60,55,71,50,50
Pidgeot,18,Normal,Flying,,83,80,75,101,70,70
Rattata,19,Normal,,20,30,56,35,72,35,25
Raticate,20,Normal,,,55,81,60,97,70,50
Spearow,21,Normal,Flying,20,40,60,30,70,31,31
Fearow,22,Normal,Flying,,65,90,65,100,61,61
Ekans,23,Poison,,22,35,60,44,55,54,40
Arbok,24,Poison,,,60,95,69,80,79,65
Pikachu,25,Electric,,Thunder Stone,35,55,40,90,50,50
Raichu,26,Electric,Psychic,,60,90,55,110,80,90
Sandshrew,27,Ground,,22,50,75,85,40,30,20
Sandslash,28,Ground,,,75,100,110,65,55,45
NidoranF,29,Poison,,16,55,47,52,41,40,40
Nidorina,30,Poison,,Moon Stone,70,62,67,56,55,55
Nidoqueen,31,Poison,Ground,,90,92,87,76,85,75
NidoranM,32,Poison,,16,46,57,40,50,40,40
Nidorino,33,Poison,,Moon Stone,61,72,57,65,55,55
Nidoking,34,Poison,Ground,,81,102,77,85,75,85
Clefairy,35,Normal,,Moon Stone,70,45,48,35,65,60
Clefable,36,Normal,,,95,70,73,60,90,95
Vulpix,37,Fire,,Fire Stone,38,41,40,65,65,50
Ninetales,38,Fire,,,73,76,75,100,100,81
Jigglypuff,39,Normal,,Moon Stone,115,45,20,20,25,45
Wigglytuff,40,Normal,,,140,70,45,45,50,85
Zubat,41,Poison,Flying,22,40,45,35,55,40,30
Golbat,42,Poison,Flying,,75,80,70,90,75,65
Oddish,43,Grass,Poison,21,45,50,55,30,65,75
Gloom,44,Grass,Poison,Leaf Stone,60,65,70,40,75,85
Vileplume,45,Grass,Poison,,75,80,85,50,90,110
Paras,46,Bug,Grass,24,35,70,55,25,55,45
Parasect,47,Bug,Grass,,60,95,80,30,80,60
Venonat,48,Bug,Poison,31,60,55,50,45,55,40
Venomoth,49,Bug,Poison,,70,65,60,90,75,90
Diglett,50,Ground,,26,10,55,25,95,45,35
Dugtrio,51,Ground,,,35,100,50,120,70,50
Meowth,52,Normal,,28,40,45,35,90,40,40
Persian,53,Normal,,,65,70,60,115,65,65
Psyduck,54,Water,,33,50,52,48,55,50,65
Golduck,55,Water,,,80,82,78,85,80,95
Mankey,56,Fighting,,28,40,80,35,70,45,35
Primeape,57,Fighting,,,65,105,60,95,70,60
Growlithe,58,Fire,,Fire Stone,55,70,45,60,50,70
Arcanine,59,Fire,,90,110,80,95,80,100
Poliwag,60,Water,,25,40,50,40,90,40,40
Poliwhirl,61,Water,,Water Stone,65,65,65,90,50,50
Poliwrath,62,Water,Fighting,,90,95,95,70,90,70
Abra,63,Psychic,,16,25,20,15,90,55,105
Kadabra,64,Psychic,,Trade,40,35,30,105,70,120
Alakazam,65,Psychic,,,55,50,45,120,95,135
Machop,66,Fighting,,28,70,80,50,35,35,35
Machoke,67,Fighting,,Trade,80,100,70,45,60,50
Machamp,68,Fighting,,,90,130,80,55,85,65
Bellsprout,69,Grass,Poison,21,50,75,35,40,30,70
Weepinbell,70,Grass,Poison,Leaf Stone65,90,50,55,45,85
Victreebel,71,Grass,Poison,,80,105,65,70,70,100
Tentacool,72,Water,Poison,30,40,40,35,70,100,50
Tentacruel,73,Water,Poison,,80,70,65,100,120,80
Geodude,74,Rock,Ground,25,40,80,100,20,30,30
Graveler,75,Rock,Ground,Trade,55,95,115,35,45,45
Golem,76,Rock,Ground,,80,120,130,45,65,55
Ponyta,77,Fire,,40,50,85,55,90,65,65
Rapidash,78,Fire,,,65,100,70,105,80,80
Slowpoke,79,Psychic,,37,90,65,65,15,40,40
Slowbro,80,Poison,Psychic,,95,75,110,30,80,100
Magnemite,81,Electric,Steel,30,25,35,70,45,55,95
Magneton,82,Electric,Steel,,50,60,95,70,70,120
Farfetch'd,83,Normal,,,52,90,55,60,62,58
Doduo,84,Normal,Flying,31,35,85,45,75,35,35
Dodrio,85,Normal,Flying,,60,110,70,110,60,60
Seel,86,Water,,34,65,45,55,45,70,45
Dewgong,87,Water,Ice,,90,70,80,70,95,70
Grimer,88,Poison,,38,80,80,50,25,50,40
Muk,89,Poison,,,105,105,75,50,100,65
Shellder,90,Water,,Water Stone,30,65,100,40,25,45
Cloyster,91,Water,Ice,,50,95,180,70,45,85
Gastly,92,Ghost,Poison,25,30,35,30,80,35,100
Haunter,93,Ghost,Poison,Trade,45,50,45,95,55,115
Gengar,94,Ghost,Poison,,60,65,60,110,75,130
Onix,95,Rock,Ground,,35,45,160,70,45,30
Drowzee,96,Psychic,,26,60,48,45,42,90,43
Hypno,97,Psychic,,,85,73,70,67,115,73
Krabby,98,Water,,28,30,105,90,50,25,25
Kingler,99,Water,,,55,130,115,75,50,50
Voltorb,100,Electric,,30,40,30,50,100,55,55
Electrode,101,Electric,,,60,50,70,150,80,80
Exeggcute,102,Grass,Psychic,Leaf Stone,60,40,80,40,45,60
Exeggutor,103,Grass,Psychic,,95,95,85,55,75,125
Cubone,104,Ground,,28,50,50,95,35,50,40
Marowak,105,Ground,,,60,80,110,45,80,50
Hitmonlee,106,Fighting,,,50,120,53,87,110,35
Hitmonchan,107,Fighting,,,50,105,79,76,110,35
Lickitung,108,Normal,,,90,55,75,30,75,60
Koffing,109,Poison,,35,40,65,95,35,45,60
Weezing,110,Poison,,,65,90,120,60,70,85
Rhyhorn,111,Ground,Rock,42,80,85,95,25,30,30
Rhydon,112,Ground,Rock,,105,130,120,40,45,45
Chansey,113,Normal,,,250,5,5,50,105,35
Tangela,114,Grass,,,65,55,115,60,40,100
Kangaskhan,115,Normal,,,105,95,80,90,80,40
Horsea,116,Water,,32,30,40,70,60,25,70
Seadra,117,Water,,,55,65,95,85,45,95
Goldeen,118,Water,,33,45,67,60,63,50,35
Seaking,119,Water,,,80,92,65,68,80,65
Staryu,120,Water,,Water Stone,30,45,55,85,55,70
Starmie,121,Water,Psychic,,60,75,85,115,85,100
Mr. Mime,122,Psychic,,,40,45,65,90,120,100
Scyther,123,Bug,Flying,,70,110,80,105,80,55
Jynx,124,Ice,Psychic,,65,50,35,95,95,115
Electabuzz,125,Electric,,,65,83,57,105,85,95
Magmar,126,Fire,,,65,95,57,93,85,100
Pinsir,127,Bug,,,65,125,100,85,70,55
Tauros,128,Normal,,,75,100,95,110,70,40
Magikarp,129,Water,,20,20,10,55,80,20,15
Gyarados,130,Water,Flying,,95,125,79,81,100,60
Lapras,131,Water,Ice,,130,85,80,60,95,85
Ditto,132,Normal,,,48,48,48,48,48,48
Eevee,133,Normal,,Water Stone_Thunder Stone_Fire Stone,55,55,50,55,65,45
Vaporeon,134,Water,,,130,65,60,65,95,110
Jolteon,135,Electric,,,65,65,60,130,95,110
Flareon,136,Fire,,,65,130,60,65,110,95
Porygon,137,Normal,,,65,60,70,40,75,85
Omanyte,138,Rock,Water,40,35,40,100,35,55,90
Omastar,139,Rock,Water,,70,60,125,55,70,115
Kabuto,140,Rock,Water,40,30,80,90,55,45,55
Kabutops,141,Rock,Water,,60,115,105,80,70,65
Aerodactyl,142,Rock,Flying,,80,105,65,130,75,60
Snorlax,143,Normal,,,160,110,65,30,110,65
Articuno,144,Ice,Flying,,90,85,100,85,125,95
Zapdos,145,Electric,Flying,,90,90,85,100,90,125
Moltres,146,Fire,Flying,,90,100,90,90,85,125
