Name,Type1,Type2,Evo,HP,Atk,Def,SpAtk,SpDef,Spe
Bulbasaur,Grass,Poison,16,45,49,49,45,65,65
Ivysaur,Grass,Poison,32,60,62,63,60,80,80
Venusaur,Grass,Poison,,80,82,83,80,100,100
Charmander,Fire,,16,39,52,43,65,50,60
Charmeleon,Fire,,36,58,64,58,80,65,80
Charizard,Fire,Flying,,78,84,78,100,85,109
Squirtle,Water,,16,44,48,65,43,64,50
Wartortle,Water,,36,59,63,80,58,80,65
Blastoise,Water,,,79,83,100,78,105,85
Caterpie,Bug,,7,45,30,35,45,20,20
Metapod,Bug,,10,50,20,55,30,25,25
Butterfree,Bug,Flying,,60,45,50,70,80,90
Weedle,Bug,Poison,7,40,35,30,50,20,20
Kakuna,Bug,Poison,10,45,25,50,35,25,25
Beedrill,Bug,Poison,,65,90,40,75,80,45
Pidgey,Normal,Flying,18,40,45,40,56,35,35
Pidgeotto,Normal,Flying,36,63,60,55,71,50,50
Pidgeot,Normal,Flying,,83,80,75,101,70,70
Rattata,Normal,,20,30,56,35,72,35,25
Raticate,Normal,,,55,81,60,97,70,50
Spearow,Normal,Flying,20,40,60,30,70,31,31
Fearow,Normal,Flying,,65,90,65,100,61,61
Ekans,Poison,,22,35,60,44,55,54,40
Arbok,Poison,,,60,95,69,80,79,65
Pikachu,Electric,,Thunder Stone,35,55,40,90,50,50
Raichu,Electric,Psychic,,60,90,55,110,80,90
Sandshrew,Ground,,22,50,75,85,40,30,20
Sandslash,Ground,,,75,100,110,65,55,45
NidoranF,Poison,,16,55,47,52,41,40,40
Nidorina,Poison,,Moon Stone,70,62,67,56,55,55
Nidoqueen,Poison,Ground,,90,92,87,76,85,75
NidoranM,Poison,,16,46,57,40,50,40,40
Nidorino,Poison,,Moon Stone,61,72,57,65,55,55
Nidoking,Poison,Ground,,81,102,77,85,75,85
Clefairy,Normal,,Moon Stone,70,45,48,35,65,60
Clefable,Normal,,,95,70,73,60,90,95
Vulpix,Fire,,Fire Stone,38,41,40,65,65,50
